DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT
1/1/16,1010 EAST 178TH STREET,NY005011330,180,133,289,289,NY005090,FEDERAL,CONVENTIONAL,NEW CONST,,218,220,918.0,4.21,,462,462,1,0,1,21,"88,172",2.02,"88,172",2.02,"14,961","1,841,787",16.97%,228.71,"$5,031,405","$5,341",$439.24,E TREMONT AVE,BRYANT AVE,E 178TH ST,BOSTON RD,BRONX,6,15,32,87,15,3/31/71,,,,
1/1/16,104-14 TAPSCOTT STREET,NY005011670,242,167,361,283,NY005174,FEDERAL,TURNKEY,NEW CONST,,30,30,131.0,4.37,,69,69,1,0,1,4,"10,000",0.23,"10,000",0.23,"6,983","351,238",69.83%,300,"$839,110","$6,505",$443.53,TAPSCOTT ST,UNION ST,SUTTER AVE,BLAKE AVE,BROOKLYN,16,9,20,55,41,10/31/72,,,,
1/1/16,1162-1176 WASHINGTON AVENUE,NY005013080,233,308,354,344,NY005138,FEDERAL,TURNKEY,REHAB,,65,66,293.5,4.5199999999999996,,191,191,1,0,1,6,"18,987",0.44,"18,987",0.44,"12,231","851,926",64.42%,434.09,"$2,205,187","$7,302",$471.03,E 167TH ST,E 168TH ST,THIRD AVE,WASHINGTON AVE,BRONX,3,15,32,79,16,12/31/75,,,,
1/1/16,131 SAINT NICHOLAS AVENUE,NY005010970,154,097,264,261,NY005065,FEDERAL,CONVENTIONAL,NEW CONST,,98,100,386.0,3.94,,171,171,1,0,1,17,"29,359",0.67,"29,359",0.67,"5,759","771,591",19.62%,255.22,"$1,880,013","$4,694",$480.30,SAINT NICHOLAS AVE,W 116TH ST,W 117TH ST,,MANHATTAN,10,13,30,70,9,3/31/65,,,,
1/1/16,1471 WATSON AVENUE,NY005010670,214,067,332,222,NY005162,FEDERAL,TURNKEY,NEW CONST,,96,96,386.0,4.0199999999999996,,166,166,1,0,1,6,"39,937",0.92,"39,937",0.92,"13,337","810,629",33.40%,180.43,"$2,278,928","$5,814",$403.10,WATSON AVE,COLGATE AVE,EVERGREEN AVE,,BRONX,9,15,32,85,17,12/31/70,,,,
1/1/16,154 WEST 84TH STREET,NY005013590,359,359,840,840,NY005270,FEDERAL,TURNKEY,NEW CONST,,35,35,157.5,4.5,,83,83,1,0,1,7,"9,621",0.22,"9,621",0.22,"5,774","361,857",60.01%,377.27,"$4,503,296","$28,412",$534.00,AMSTERDAM AVE,W 84TH ST,COLUMBUS AVE,,MANHATTAN,7,10,29,69,6,3/31/96,,,YES,YES
1/1/16,303 VERNON AVENUE,NY005010730,156,073,267,267,NY005068,FEDERAL,CONVENTIONAL,NEW CONST,,234,234,1101.0,4.71,,552,552,1,0,1,24,"110,000",2.5299999999999998,"110,000",2.5299999999999998,"11,311","2,207,369",10.28%,218.18,"$4,703,702","$4,272",$489.27,VERNON AVE,MARCUS GARVEY BLVD,MYRTLE AVE,,BROOKLYN,3,8,18,54,36,5/31/67,,,,
1/1/16,335 EAST 111TH STREET,NY005010640,203,064,320,219,NY005126,FEDERAL,TURNKEY,NEW CONST,,66,66,259.0,3.92,,118,118,1,0,1,6,"20,205",0.46,"20,205",0.46,"9,143","530,550",45.25%,256.52,"$1,241,825","$4,651",$423.00,SECOND AVE,E 111TH ST,FIRST AVE,E 112TH ST,MANHATTAN,11,13,29,68,8,6/30/69,,,,
1/1/16,344 EAST 28TH STREET,NY005021850,185,153,452,452,NY005374,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,56,225,225,985.5,4.38,132,314,446,1,0,1,26,"44,644",1.02,"44,644",1.02,"7,889","1,946,457",17.67%,437.25,"$4,980,000","$5,053",$441.98,E 27TH ST,NEW ST,E 28TH ST,FIRST AVE,MANHATTAN,6,12,27,74,2,3/31/71,,,,
1/1/16,45 ALLEN STREET,NY005011000,265,100,380,312,NY005186,FEDERAL,TURNKEY,NEW CONST,,106,107,533.0,5.03,,241,241,1,1,2,14,"39,609",0.91,"39,609",0.91,"8,031","950,162",20.28%,264.83999999999997,"$4,290,021","$7,981",$657.66,GRAND ST,ALLEN ST,HESTER ST,ELDRIDGE ST,MANHATTAN,3,7,26,65,1,7/31/74,,,,
1/1/16,572 WARREN STREET,NY005011630,196,163,307,272,NY005103,FEDERAL,TURNKEY,NEW CONST,,200,200,815.0,4.08,,382,382,1,1,2,6,"81,700",1.88,"81,700",1.88,"28,530","1,726,301",34.92%,203.19,"$5,984,598","$7,116",$491.95,WARREN ST,BALTIC ST,THIRD AVE,FOURTH AVE,BROOKLYN,6,7,25,52,33,8/31/72,,,,
1/1/16,830 AMSTERDAM AVENUE,NY005010820,150,082,258,258,NY005059,FEDERAL,CONVENTIONAL,NEW CONST,,159,159,727.5,4.58,,334,334,1,0,1,20,"28,690",0.66,"28,690",0.66,"7,750","1,375,740",27.01%,506.06,"$3,631,814","$4,992",$469.70,W 101ST ST,AMSTERDAM AVE,W 100TH ST,,MANHATTAN,7,10,30,69,7,8/31/65,,,,
1/1/16,ADAMS,NY005001180,118,118,248,248,NY005049,FEDERAL,CONVENTIONAL,NEW CONST,,925,925,4309.5,4.66,,"2,402","2,402",7,0,7,15-21,"408,888",9.39,"383,068",8.7899999999999991,"56,283","8,181,502",13.76%,255.8,"$17,878,818","$4,149",$469.44,WESTCHESTER AVE,UNION AVE,E 152ND ST,,BRONX,1,15,29,84,17,8/31/64,,,,
1/1/16,ALBANY,NY005010310,031,031,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,,825,829,3786.5,4.59,,"1,949","1,949",6,0,6,14,"388,389",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,218.5,"$8,951,000","$2,356",$472.42,ALBANY AVE,SAINT MARKS AVE,TROY AVE,PARK PL,BROOKLYN,8,9,25,56,36,10/14/50,1978/02/01-ATP 2,,,
1/1/16,ALBANY II,NY005010310,085,031,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,,400,400,1847.0,4.62,,"1,036","1,036",3,0,3,13-14,"214,594",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,210.14,"$4,666,000","$2,540",$456.63,BERGEN ST,TROY AVE,ALBANY HOUSES,ALBANY AVE,BROOKLYN,8,9,25,56,36,2/7/57,1978/02/01-ATP 2,,,
1/1/16,AMSTERDAM,NY005010220,022,022,530,530,NY005220A,FEDERAL,CONVENTIONAL,NEW CONST,,"1,084","1,084",5132.0,4.7300000000000004,,"2,307","2,307",13,0,24,6-13,"446,172",10.24,"413,534",9.49,"100,358","8,233,310",22.49%,225.29,"$12,262,000","$2,391",$528.81,W 61ST ST,W 64TH ST,WEST END AVE,AMSTERDAM AVE,MANHATTAN,7,10,31,67,6,12/17/48,1978/07/01-ATP 3,,,
1/1/16,AMSTERDAM ADDITION,NY005021870,187,022,453,453,NY005366,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,22,175,175,762.5,4.3600000000000003,57,288,345,1,0,1,27,"36,154",0.83,"36,154",0.83,"17,562","1,825,587",48.58%,415.66,"$7,053,000","$9,250",$534.65,W 64TH ST,W 65TH ST,AMSTERDAM AVE,WEST END AVE,MANHATTAN,7,10,31,67,6,1/31/74,,,,
1/1/16,ARMSTRONG I,NY005012100,210,210,325,325,NY005120,FEDERAL,CONVENTIONAL,NEW CONST,,369,371,1763.5,4.78,,"1,044","1,044",11,1,58,6-4-6,"245,481",5.64,"245,481",5.64,"94,311","4,800,020",38.42%,185.11,"$14,648,872","$8,129",$487.04,CLIFTON PL,MARCY AVE,GATES AVE,BEDFORD AVE,BROOKLYN,3,8,25,"56, 57",36,5/31/73,,PARTIALLY,,
1/1/16,ARMSTRONG II,NY005012100,228,210,355,325,NY005116,FEDERAL,TURNKEY,NEW CONST,,248,248,1276.0,5.15,,754,754,5,1,17,4,"162,118",3.72,"162,118",3.72,"67,372","3,123,424",41.56%,202.69,"$7,802,067","$6,114",$521.83,GREENE AVE,GATES AVE,TOMPKINS AVE,MARCY AVE,BROOKLYN,3,8,25,56,36,10/31/74,,,,
1/1/16,FHA REPOSSESSED HOUSES (GROUP IV),NY005012090,226,091,345,324,NY005159,FEDERAL,CONVENTIONAL,REHAB,,15,21,86.5,5.77,,,29,21,0,,1-2-3,"59,855.00",1.37,"59,855.00",1.37,,,,21.17,"$535,873","$5,440",$945.85,19 QUEENS,1 BRONX,1 BROOKLYN,,,,,,,,06/30/1971,,,YES,
1/1/16,ASTORIA,NY005000260,026,026,517,517,NY005213I,FEDERAL,CONVENTIONAL,NEW CONST,,"1,104","1,104",5607.0,5.08,,"3,189","3,189",22,1,22,6-7,"1,406,832",32.299999999999997,"1,151,484",26.43,"173,434","10,826,559",12.33%,98.73,"$14,122,000","$2,519",$551.75,27TH AVE,8TH ST,HALLET'S COVE,EAST RIVER,QUEENS,1,12,12,37,22,11/9/51,1977/07/01-ATP 1,,,
1/1/16,ATLANTIC TERMINAL SITE 4B,NY005011630,256,163,384,272,NY005189,FEDERAL,TURNKEY,NEW CONST,,299,300,1237.5,4.1399999999999997,,604,604,1,0,1,31,"88,155",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,299.01,"$10,797,972","$8,489",$517.83,CLERMONT AVE,ATLANTIC AVE,CARLTON AVE,FULTON ST,BROOKLYN,2,8,25,57,35,4/30/76,,,,
1/1/16,AUDUBON,NY005010030,125,003,444,444,NY005365,FEDERAL,CONVENTIONAL,NEW CONST,,168,168,833.0,4.96,,449,449,1,0,1,20,"27,477",0.63,"27,477",0.63,"9,043","1,585,892",32.91%,712.7,"$2,817,000","$3,382",$498.84,W 154TH ST,W 155TH ST,AMSTERDAM AVE,,MANHATTAN,9,13,30,71,7,4/30/62,1995/07/13-PTA,,,
1/1/16,BAILEY AVENUE-WEST 193RD STREET,NY005012020,202,202,311,311,NY005106,FEDERAL,CONVENTIONAL,NEW CONST,,233,233,980.5,4.21,,461,461,1,0,1,20,"99,606",2.29,"99,606",2.29,"13,621","1,877,893",13.67%,201.31,"$8,091,156","$8,173",$440.81,BAILEY AVE,W 193RD ST,HEATH AVE,,BRONX,7,13,33,86,14,5/31/73,,,,
1/1/16,BAISLEY PARK,NY005010910,091,091,240,240,NY005038,FEDERAL,CONVENTIONAL,NEW CONST,,384,386,1792.0,4.67,,948,948,5,1,8,8,"325,713",7.48,"325,713",7.48,"54,504","3,529,560",16.73%,126.74,"$5,856,304","$3,246",$504.04,LIRR,FOCH BLVD,116TH AVE,GUY BREWER BLVD,QUEENS,12,5,"10, 14",32,28,4/30/61,,,,
1/1/16,BARUCH,NY005010600,060,060,215,215,NY005012,FEDERAL,CONVENTIONAL,NEW CONST,,"2,194","2,194",10247.0,4.67,,"5,107","5,107",17,1,35,7-13-14,"1,196,115",27.46,"1,101,503",25.29,"160,098","17,784,205",13.38%,185.98,"$36,411,155","$3,553",$515.38,E HOUSTON ST,FDR DRIVE,DELANCEY ST,COLUMBIA ST,MANHATTAN,3,7,26,74,2,8/6/59,,,,
1/1/16,BARUCH HOUSES ADDITION,NY005010600,198,060,383,215,NY005111,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,197,197,646.5,3.28,,233,233,1,0,1,23,"47,204",1.08,"47,204",1.08,"6,149","1,268,931",13.03%,215.74,"$6,622,549","$9,907",$304.80,COLUMBIA ST,DELANCEY ST,E HOUSTON ST,FDR DRIVE,MANHATTAN,3,7,26,74,2,4/30/77,,EXCLUSIVELY,,
1/1/16,BAY VIEW,NY005020920,092,092,670,670,NY005368,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,308,"1,608","1,610",7306.0,4.54,842,2730,"3,572",23,2,25,8,"1,481,844",34.020000000000003,"1,459,244",33.5,"228,305","14,262,296",15.41%,105,"$19,575,470","$2,676",$479.33,SEAVIEW AVE,E 102ND ST,ROCKAWAY PKWY,SHORE PKWY,BROOKLYN,18,8,19,59,46,6/7/56,,,,
1/1/16,BAYCHESTER,NY005021260,126,138,440,440,NY005367,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,127,440,441,1863.0,4.2300000000000004,282,590,872,11,1,12,6,"360,248",8.27,"360,248",8.27,"66,835","3,759,170",18.55%,105.44,"$8,099,000","$4,339",$421.05,SCHIEFFELIN AVE,E 225TH ST,E 229TH ST,,BRONX,12,16,36,83,12,10/31/63,,,,
1/1/16,BEACH 41ST STREET-BEACH CHANNEL DRIVE,NY005001650,165,165,282,282,NY005086,FEDERAL,CONVENTIONAL,NEW CONST,,712,712,3106.0,4.3600000000000003,,"1,691","1,691",4,1,7,13,"580,000",13.31,"580,000",13.31,"66,756","6,385,727",11.51%,127.05,"$24,811,000","$7,988",$452.98,B 38TH ST,B 41ST ST,NORTON AVE,B CHANNEL DR,QUEENS,14,5,10,31,31,11/30/73,,,,
1/1/16,BEDFORD-STUYVESANT REHAB,NY005010730,311,073,266,538,NY005255,FEDERAL,TURNKEY,REHAB,,84,85,381.0,4.54,,184,184,3,0,5,4-6,"26,000",0.6,"26,000",0.6,"18,283","856,611",70.32%,306.67,"$5,219,763","$13,316",$476.14,THROOP AVE,VERNON AVE,MARCUS GARVEY BLVD,HART ST,BROOKLYN,3,8,18,54,36,5/31/83,,,YES,
1/1/16,BELMONT-SUTTER AREA,NY005010460,345,046,761,761,NY005282,FEDERAL,TURNKEY,NEW CONST,,72,72,336.0,4.67,,191,191,3,0,8,3,"80,000",1.84,"80,000",1.84,"24,395","889,912",30.49%,103.8,"$5,373,534","$15,993",$505.08,BELMONT AVE,JEROME ST,SUTTER AVE,BARBEY ST,BROOKLYN,5,8,19,60,42,2/28/86,,,YES,
1/1/16,BERRY,NY005000520,052,052,587,587,NY005271B,FEDERAL,CONVENTIONAL,NEW CONST,,506,506,2129.0,4.21,,950,950,8,1,17,6,"604,913",13.89,"511,178",11.74,"77,152","4,520,277",12.75%,68.39,"$5,929,376","$2,785",$462.51,RICHMOND RD,DONGAN HILLS AVE,SEAVER AVE,JEFFERSON ST,STATEN ISLAND,2,11,24,63,50,10/27/50,1980/10/01-ATP 7,,,
1/1/16,BERRY STREET-SOUTH 9TH STREET,NY005011310,357,131,777,777,NY005288,FEDERAL,TURNKEY,NEW CONST,,150,150,711.0,4.74,,381,381,4,0,15,3-6,"129,228",2.97,"129,228",2.97,"39,559","1,341,343",30.61%,128.28,"$17,062,418","$23,999",$544.17,SOUTH 9TH ST,BEDFORD & DIVISION AVES,SOUTH 11TH ST,WYTHE AVE,BROOKLYN,1,7,18,50,33,9/30/95,,,YES,
1/1/16,BETANCES I,NY005012110,211,211,326,326,NY005121,FEDERAL,CONVENTIONAL,NEW CONST,,309,309,1410.5,4.5599999999999996,,710,710,13,0,13,3-4-12-20,"136,173",3.13,"136,173",3.13,"40,862","2,587,665",30.01%,226.84,"$8,854,586","$6,216",$465.11,BROOK AVE,E 144TH ST,SAINT ANN'S AVE,E 143RD ST,BRONX,1,15,29,84,8,5/31/73,,PARTIALLY,,
1/1/16,BETANCES II,,"220, 518, 519","084, 145, 211","294, 338, 300","326, 249, 294",NY005118,FEDERAL,TURNKEY,NEW CONST,,175,175,856.5,4.8899999999999997,,477,477,4,0,9,4-6,"105,015",2.41,"105,015",2.41,"43,313","2,393,548",41.24%,197.93,"$6,919,291","$8,055",$458.68,E 136TH ST,"E 140TH, 144TH STS",JACKSON AVE,WILLIS AVE,BRONX,1,15,29,84,8,7/31/73,,,,
1/1/16,"BETANCES II, 13",NY005010840,518,084,300,294,NY005118,FEDERAL,TURNKEY,NEW CONST,,51,51,220.5,4.32,,,116,1,0,1,6,"52,523",1.21,"52,523",1.21,"18,780","621,365",35.76%,95.87,"$1,796,276","$8,055",$396.98,E 140TH ST,JACKSON AVE,E 139TH ST,,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,"BETANCES II, 18",NY005011450,519,145,338,249,NY005118,FEDERAL,TURNKEY,NEW CONST,,78,78,428.0,5.49,,,259,2,0,5,4-6,"25,352",0.58,"25,352",0.58,"9,348","1,192,594",36.87%,446.55,"$3,447,562","$8,055",$478.22,WILLIS AVE,E 137TH ST,BROWN PL,E 136TH ST,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,"BETANCES II, 9A",NY005012110,220,211,294,326,NY005118,FEDERAL,TURNKEY,NEW CONST,,46,46,208.0,4.52,,,102,1,0,3,4,"27,140",0.62,"27,140",0.62,"15,185","579,478",55.95%,164.52,"$1,675,453","$8,055",$494.39,E 146TH ST,SAINT ANN'S AVE,E 144TH ST,BROOK AVE,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,BETANCES III,,"222, 520, 521","084, 145, 211","339, 366, 356","326, 249, 294",NY005134,FEDERAL,TURNKEY,REHAB,,67,67,337.5,5.04,,208,208,5,0,5,5-6,"49,767",1.1399999999999999,"49,767",1.1399999999999999,"28,692","2,677,414",57.65%,182.46,"$4,846,925","$7,289",$464.75,E 136TH ST,"E 140TH, 144TH STS",JACKSON AVE,WILLIS AVE,BRONX,1,15,29,84,8,7/31/73,,,,
1/1/16,"BETANCES III, 13",NY005010840,520,084,356,294,NY005134,FEDERAL,TURNKEY,REHAB,,22,22,117.0,5.32,,,79,2,0,2,5,"12,860",0.29,"12,860",0.29,"3,480","479,116",27.06%,272.41,"$867,345","$7,289",$394.36,E 139TH ST,JACKSON AVE,,,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,"BETANCES III, 18",NY005011450,521,145,366,249,NY005134,FEDERAL,TURNKEY,REHAB,,19,19,77.5,4.08,,,44,1,0,1,5,"24,894",0.57,"24,894",0.57,"17,906","1,348,772",71.93%,77.19,"$2,441,684","$7,289",$412.21,E 137TH ST,BROWN PL,E 136TH ST,WILLIS AVE,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,"BETANCES III, 9A",NY005012110,222,211,339,326,NY005134,FEDERAL,TURNKEY,REHAB,,26,26,143.0,5.50,,,85,2,0,2,6,"12,013",0.28,"12,013",0.28,"7,306","849,526",60.82%,303.57,"$1,537,896","$7,289",$562.69,E 145TH ST,SAINT ANN'S AVE,E 144TH ST,,BRONX,1,15,29,84,08,07/31/1973,,,,
1/1/16,BETANCES IV,NY005012110,230,211,349,326,NY005135,FEDERAL,TURNKEY,NEW CONST,,282,282,1366.0,4.84,,769,769,8,0,19,3-4-6,"189,526",4.3499999999999996,"189,526",4.3499999999999996,"74,343","3,694,403",39.23%,176.78,"$10,758,956","$7,853",$501.31,E 143RD ST,E 147TH ST,WILLIS AVE,SAINT ANN'S AVE,BRONX,1,15,29,84,8,12/31/73,,,,
1/1/16,BETANCES V,NY005012110,231,211,350,326,NY005136,FEDERAL,TURNKEY,REHAB,,100,100,484.0,4.84,,317,317,6,0,6,5-6,"45,308",1.04,"45,308",1.04,"30,557","2,021,785",67.44%,304.81,"$5,877,679","$7,916",$486.35,E 143RD ST,E 147TH ST,WILLIS AVE,SAINT ANN'S AVE,BRONX,1,15,29,84,8,2/28/74,,,,
1/1/16,BETANCES VI,NY005012110,285,211,545,545,NY005217,FEDERAL,CONVENTIONAL,REHAB,,155,155,726.5,4.6900000000000004,,379,379,3,2,5,5-6,"56,604",1.3,"56,604",1.3,"18,582","993,708",32.83%,291.54000000000002,"$10,480,359","$14,337",$516.12,E 147TH ST,E 146TH ST,SAINT ANN'S AVE,WILLIS AVE,BRONX,1,15,29,84,8,10/31/82,,,YES,
1/1/16,BETHUNE GARDENS,NY005010030,160,003,271,271,NY005070,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,210,210,735.0,3.5,,254,254,1,0,1,22,"63,546",1.46,"63,546",1.46,"7,751","1,393,115",12.20%,173.97,"$3,785,397","$5,007",$318.96,W 156TH ST,SAINT NICHOLAS AVE,AMSTERDAM AVE,,MANHATTAN,12,13,30,71,7,3/31/67,,EXCLUSIVELY,,
1/1/16,BLAND,NY005011860,054,186,519,519,NY005213K,FEDERAL,CONVENTIONAL,NEW CONST,,399,400,1850.5,4.6399999999999997,,898,898,5,0,5,10,"269,800",6.19,"245,785",5.64,"43,237","3,668,503",16.03%,145.07,"$5,925,000","$3,205",$543.32,ROOSEVELT AVE,PRINCE ST,COLLEGE POINT BLVD,LIRR,QUEENS,7,6,11,40,20,5/8/52,1977/07/01-ATP 1,,,
1/1/16,BORINQUEN PLAZA I,NY005012430,243,243,353,353,NY005175,FEDERAL,TURNKEY,NEW CONST,,509,509,2359.5,4.6399999999999997,,"1,172","1,172",8,2,10,7,"250,875",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,203.47,"$15,625,047","$6,556",$494.32,MANHATTAN AVE,BOERUM ST,BUSHWICK AVE,VARET ST,BROOKLYN,1,7,18,53,34,2/28/75,,PARTIALLY,,
