,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Unemp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
35,Crotona Park East,18951,0.454,0.546,29.7,0.673,0.01,0.3,0.007,0.107,22557,0.854,0.447,0.309,0.245,0.378,0.115,0.024,0.114,0.416
36,Crown Heights North,98050,0.447,0.553,33.5,0.121,0.128,0.699,0.027,0.08,37104,0.843,0.291,0.287,0.213,0.21,0.272,0.026,0.1,0.533
37,Crown Heights South,24981,0.472,0.528,31.7,0.082,0.264,0.625,0.012,0.108,41745,0.863,0.212,0.343,0.286,0.161,0.281,0.023,0.075,0.579
38,Cypress Hills-City Line,30313,0.478,0.522,31.8,0.604,0.05,0.259,0.064,0.049,40432,0.845,0.302,0.426,0.357,0.286,0.114,0.018,0.066,0.504
39,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,48265,0.486,0.514,33.8,0.215,0.442,0.212,0.103,0.068,84945,0.917,0.212,0.388,0.342,0.146,0.563,0.02,0.108,0.527
40,Douglas Manor-Douglaston-Little Neck,5895,0.484,0.516,44.1,0.113,0.467,0.018,0.392,0.045,83749,0.893,0.074,0.607,0.544,0.093,0.499,0.049,0.096,0.678
41,Dyker Heights,11609,0.5,0.5,38.5,0.102,0.49,0.006,0.393,0.054,54752,0.896,0.16,0.566,0.547,0.302,0.252,0.032,0.091,0.507
42,East Concourse-Concourse Village,54874,0.47,0.53,32.3,0.613,0.014,0.342,0.013,0.084,27883,0.84,0.359,0.302,0.246,0.389,0.145,0.024,0.143,0.353
43,East Elmhurst,11947,0.526,0.474,34.3,0.624,0.049,0.244,0.069,0.058,51594,0.739,0.206,0.332,0.359,0.25,0.172,0.026,0.076,0.414
44,East Flatbush-Farragut,27851,0.437,0.563,39,0.058,0.018,0.891,0.015,0.064,50889,0.881,0.124,0.399,0.283,0.125,0.225,0.023,0.076,0.652
45,East Flushing,5888,0.497,0.503,40.8,0.16,0.177,0.011,0.625,0.054,55971,0.764,0.148,0.554,0.536,0.219,0.288,0.023,0.071,0.497
46,East Harlem North,74913,0.455,0.545,32.1,0.497,0.083,0.353,0.045,0.06,26099,0.847,0.371,0.254,0.188,0.292,0.231,0.026,0.152,0.362
47,East Harlem South,46803,0.471,0.529,34.4,0.428,0.195,0.249,0.103,0.071,35857,0.853,0.269,0.288,0.25,0.24,0.365,0.021,0.119,0.426
48,East New York,92864,0.445,0.555,31.7,0.27,0.018,0.678,0.021,0.076,32973,0.89,0.332,0.327,0.237,0.22,0.129,0.022,0.103,0.574
49,East New York (Pennsylvania Ave),32238,0.448,0.552,28.9,0.281,0.017,0.691,0.007,0.095,29527,0.86,0.394,0.285,0.234,0.293,0.097,0.021,0.098,0.534
50,East Tremont,40358,0.466,0.534,29.2,0.695,0.016,0.269,0.01,0.132,20879,0.847,0.453,0.26,0.195,0.409,0.107,0.023,0.141,0.388
51,East Village,30709,0.496,0.504,32.5,0.108,0.674,0.048,0.142,0.038,72665,0.903,0.147,0.213,0.197,0.067,0.717,0.016,0.076,0.394
52,East Williamsburg,25573,0.477,0.523,34,0.319,0.449,0.092,0.123,0.058,50777,0.851,0.202,0.351,0.293,0.223,0.405,0.023,0.124,0.515
53,Eastchester-Edenwald-Baychester,18589,0.44,0.56,34.2,0.242,0.036,0.688,0.016,0.09,50334,0.892,0.18,0.376,0.285,0.196,0.215,0.036,0.125,0.642
54,Elmhurst,37356,0.52,0.48,36.2,0.443,0.063,0.014,0.459,0.039,47863,0.726,0.205,0.438,0.455,0.307,0.25,0.014,0.074,0.419
55,Elmhurst-Maspeth,9325,0.496,0.504,37.1,0.284,0.149,0.008,0.547,0.034,55881,0.763,0.141,0.517,0.481,0.238,0.293,0.024,0.062,0.439
56,Erasmus,25431,0.451,0.549,35.6,0.11,0.014,0.842,0.016,0.09,40681,0.823,0.23,0.364,0.274,0.191,0.186,0.018,0.069,0.542
57,Far Rockaway-Bayswater,27629,0.467,0.533,32.8,0.278,0.252,0.42,0.029,0.06,41916,0.865,0.232,0.405,0.322,0.291,0.212,0.037,0.158,0.531
58,Flatbush,52956,0.454,0.546,34.4,0.177,0.222,0.475,0.098,0.069,45332,0.837,0.206,0.427,0.329,0.203,0.303,0.018,0.089,0.507
59,Flatlands,32400,0.464,0.536,37.1,0.079,0.165,0.703,0.037,0.066,64519,0.905,0.114,0.437,0.347,0.135,0.28,0.023,0.077,0.686
60,Flushing,31114,0.467,0.533,43,0.151,0.089,0.038,0.688,0.048,39840,0.751,0.236,0.556,0.468,0.262,0.253,0.013,0.095,0.426
61,Fordham South,29259,0.448,0.552,28.2,0.708,0.015,0.261,0.008,0.108,22662,0.798,0.474,0.297,0.22,0.414,0.117,0.02,0.135,0.305
62,Forest Hills,22561,0.47,0.53,41.9,0.14,0.562,0.027,0.249,0.044,67881,0.913,0.102,0.546,0.469,0.073,0.551,0.027,0.109,0.721
63,Fort Greene,25569,0.457,0.543,34.2,0.215,0.282,0.378,0.088,0.088,61990,0.888,0.241,0.339,0.28,0.181,0.478,0.034,0.096,0.564
64,Fresh Meadows-Utopia,4988,0.485,0.515,41.2,0.132,0.319,0.036,0.484,0.064,69525,0.855,0.129,0.55,0.523,0.122,0.471,0.042,0.09,0.647
65,Ft. Totten-Bay Terrace-Clearview,3826,0.472,0.528,48.3,0.085,0.677,0.004,0.209,0.059,71784,0.94,0.072,0.584,0.508,0.088,0.465,0.069,0.143,0.706
66,Georgetown-Marine Park-Bergen Beach-Mill Basin,21237,0.484,0.516,38.8,0.091,0.702,0.123,0.067,0.061,72158,0.931,0.077,0.577,0.517,0.09,0.37,0.045,0.08,0.771
67,Glen Oaks-Floral Park-New Hyde Park,4918,0.454,0.546,49.1,0.081,0.491,0.043,0.346,0.05,76863,0.927,0.075,0.555,0.469,0.093,0.42,0.059,0.145,0.774
68,Glendale,13482,0.495,0.505,38.1,0.359,0.574,0.009,0.047,0.049,64178,0.879,0.12,0.491,0.455,0.164,0.229,0.034,0.08,0.582
69,Gramercy,19322,0.444,0.556,34.5,0.07,0.73,0.04,0.128,0.059,100900,0.944,0.092,0.287,0.223,0.029,0.787,0.023,0.062,0.508
70,Grasmere-Arrochar-Ft. Wadsworth,7726,0.456,0.544,39.8,0.139,0.654,0.059,0.132,0.051,69127,0.918,0.122,0.592,0.497,0.141,0.361,0.043,0.123,0.609
71,Gravesend,13526,0.45,0.55,41,0.139,0.525,0.091,0.229,0.063,35550,0.869,0.237,0.545,0.426,0.238,0.258,0.041,0.15,0.676
72,Great Kills,13662,0.491,0.509,41.5,0.098,0.84,0.003,0.051,0.052,88868,0.945,0.08,0.588,0.54,0.082,0.301,0.052,0.101,0.727
73,Greenpoint,15083,0.486,0.514,34.2,0.123,0.777,0.018,0.054,0.051,67928,0.811,0.125,0.398,0.35,0.094,0.542,0.021,0.06,0.504
74,Grymes Hill-Clifton-Fox Hills,12341,0.441,0.559,31.2,0.288,0.277,0.294,0.108,0.066,52788,0.906,0.209,0.41,0.32,0.19,0.292,0.024,0.08,0.503
75,Hamilton Heights,39206,0.482,0.518,34.1,0.48,0.142,0.318,0.021,0.078,39019,0.818,0.288,0.254,0.202,0.263,0.317,0.019,0.124,0.465
76,Hammels-Arverne-Edgemere,23852,0.464,0.536,34.8,0.251,0.176,0.497,0.041,0.081,39432,0.884,0.26,0.353,0.244,0.255,0.192,0.04,0.167,0.592
77,Highbridge,27005,0.473,0.527,29.7,0.65,0.015,0.325,0.004,0.104,23334,0.853,0.43,0.305,0.214,0.359,0.112,0.027,0.167,0.407
78,Hollis,9686,0.46,0.54,40,0.105,0.025,0.639,0.152,0.103,59368,0.852,0.116,0.405,0.347,0.169,0.23,0.035,0.117,0.665
79,Homecrest,15006,0.483,0.517,35.3,0.073,0.787,0.009,0.112,0.053,47882,0.899,0.178,0.56,0.516,0.156,0.345,0.026,0.103,0.652
80,Hudson Yards-Chelsea-Flatiron-Union Square,74480,0.51,0.49,36.6,0.14,0.631,0.061,0.131,0.051,101369,0.93,0.126,0.297,0.296,0.059,0.741,0.023,0.066,0.505
81,Hunters Point-Sunnyside-West Maspeth,34469,0.495,0.505,35.7,0.331,0.376,0.021,0.25,0.047,61736,0.784,0.142,0.419,0.417,0.162,0.424,0.027,0.071,0.429
82,Hunts Point,39163,0.481,0.519,29.4,0.74,0.01,0.233,0.004,0.095,22572,0.827,0.427,0.239,0.194,0.415,0.098,0.023,0.149,0.363
83,Jackson Heights,46533,0.502,0.498,37.9,0.553,0.161,0.018,0.239,0.061,48869,0.767,0.184,0.426,0.405,0.235,0.274,0.018,0.077,0.48
84,Jamaica,48131,0.493,0.507,35.2,0.369,0.038,0.186,0.302,0.089,39763,0.788,0.245,0.473,0.41,0.324,0.193,0.016,0.107,0.488
85,Jamaica Estates-Holliswood,9400,0.447,0.553,42,0.162,0.228,0.252,0.307,0.043,65504,0.89,0.128,0.555,0.437,0.136,0.441,0.036,0.1,0.716
86,Kensington-Ocean Parkway,10512,0.495,0.505,32.6,0.162,0.498,0.069,0.233,0.046,45483,0.842,0.254,0.525,0.476,0.192,0.376,0.013,0.099,0.551
87,Kew Gardens,6999,0.49,0.51,38.3,0.251,0.475,0.069,0.179,0.052,65035,0.903,0.118,0.52,0.464,0.106,0.46,0.024,0.09,0.659
88,Kew Gardens Hills,11180,0.478,0.522,35.7,0.123,0.521,0.072,0.243,0.049,61348,0.906,0.138,0.551,0.49,0.122,0.433,0.022,0.092,0.733
89,Kingsbridge Heights,20679,0.461,0.539,33,0.719,0.026,0.191,0.051,0.104,31330,0.809,0.325,0.325,0.251,0.326,0.182,0.027,0.123,0.452
90,Laurelton,10854,0.441,0.559,40.7,0.044,0.012,0.906,0.01,0.052,83165,0.892,0.055,0.454,0.356,0.126,0.269,0.057,0.102,0.709
91,Lenox Hill-Roosevelt Island,1314,0.433,0.567,37.3,0.081,0.741,0.042,0.113,0.032,98797,0.95,0.082,0.477,0.336,0.036,0.769,0.032,0.063,0.442
92,Lincoln Square,26478,0.485,0.515,41.2,0.095,0.748,0.024,0.107,0.041,120337,0.959,0.08,0.46,0.408,0.025,0.815,0.041,0.076,0.486
93,Longwood,28088,0.48,0.52,29.9,0.745,0.013,0.226,0.009,0.067,24214,0.835,0.385,0.278,0.214,0.437,0.094,0.025,0.148,0.375
94,Madison,13227,0.491,0.509,41.8,0.078,0.675,0.01,0.225,0.042,55840,0.929,0.142,0.571,0.535,0.144,0.393,0.025,0.107,0.686
95,Manhattanville,22146,0.475,0.525,32.9,0.567,0.097,0.28,0.03,0.054,29182,0.831,0.331,0.243,0.185,0.335,0.231,0.022,0.126,0.402
96,Maspeth,11448,0.486,0.514,40.2,0.282,0.575,0.01,0.121,0.059,56689,0.83,0.12,0.511,0.464,0.157,0.243,0.042,0.084,0.63
97,Melrose South-Mott Haven North,47731,0.439,0.561,28.8,0.645,0.02,0.315,0.004,0.089,22537,0.839,0.408,0.281,0.213,0.414,0.105,0.02,0.154,0.349
98,Middle Village,10219,0.478,0.522,43.3,0.17,0.741,0.007,0.074,0.048,69763,0.907,0.09,0.552,0.476,0.149,0.311,0.042,0.091,0.689
99,Midtown-Midtown South,142378,0.48,0.52,35.3,0.077,0.639,0.04,0.216,0.039,114491,0.936,0.134,0.339,0.299,0.039,0.774,0.024,0.058,0.368
100,Midwood,16039,0.488,0.512,36,0.075,0.761,0.044,0.106,0.052,43687,0.899,0.233,0.565,0.515,0.139,0.409,0.016,0.109,0.644
101,Morningside Heights,27737,0.449,0.551,29.7,0.221,0.477,0.115,0.152,0.038,56371,0.926,0.242,0.329,0.244,0.117,0.64,0.023,0.093,0.409
102,Morrisania-Melrose,32924,0.463,0.537,29.8,0.61,0.013,0.355,0.005,0.091,26339,0.858,0.362,0.326,0.251,0.374,0.115,0.025,0.138,0.394
103,Mott Haven-Port Morris,64921,0.476,0.524,28.9,0.719,0.013,0.253,0.008,0.078,20334,0.814,0.464,0.272,0.221,0.429,0.089,0.014,0.177,0.339
104,Mount Hope,45815,0.476,0.524,31.1,0.693,0.016,0.263,0.012,0.112,26195,0.834,0.388,0.35,0.239,0.354,0.133,0.015,0.141,0.353
105,Murray Hill,11912,0.477,0.523,42.7,0.14,0.265,0.017,0.557,0.048,52696,0.784,0.156,0.559,0.518,0.208,0.296,0.026,0.083,0.485
106,Murray Hill-Kips Bay,26541,0.453,0.547,33.8,0.115,0.636,0.05,0.161,0.039,97458,0.943,0.125,0.333,0.256,0.045,0.74,0.025,0.064,0.44
107,New Brighton-Silver Lake,9444,0.523,0.477,38.1,0.25,0.556,0.117,0.058,0.058,76522,0.891,0.154,0.493,0.488,0.123,0.328,0.056,0.079,0.564
108,New Dorp-Midland Beach,12589,0.49,0.51,41.5,0.118,0.793,0.012,0.073,0.045,78100,0.939,0.064,0.575,0.527,0.084,0.303,0.055,0.113,0.708
109,New Springville-Bloomfield-Travis,15889,0.474,0.526,42.4,0.128,0.639,0.056,0.164,0.041,78548,0.936,0.083,0.598,0.526,0.105,0.314,0.05,0.088,0.701
110,North Corona,22502,0.557,0.443,30.4,0.869,0.01,0.042,0.072,0.042,46568,0.585,0.252,0.36,0.389,0.467,0.078,0.007,0.077,0.229
111,North Riverdale-Fieldston-Riverdale,7180,0.457,0.543,42.5,0.197,0.644,0.066,0.08,0.044,78895,0.947,0.085,0.487,0.369,0.08,0.577,0.049,0.106,0.658
112,North Side-South Side,29856,0.499,0.501,31.8,0.356,0.532,0.024,0.059,0.053,61381,0.862,0.225,0.333,0.311,0.165,0.516,0.019,0.067,0.459
113,Norwood,26790,0.464,0.536,31.8,0.576,0.112,0.174,0.114,0.09,35319,0.846,0.294,0.353,0.269,0.277,0.201,0.021,0.132,0.396
114,Oakland Gardens,6391,0.484,0.516,42.5,0.076,0.409,0.019,0.457,0.041,73060,0.884,0.093,0.589,0.539,0.089,0.481,0.039,0.084,0.711
115,Oakwood-Oakwood Beach,7507,0.457,0.543,44.2,0.126,0.802,0.03,0.027,0.044,76980,0.951,0.055,0.618,0.501,0.094,0.324,0.074,0.119,0.791
116,Ocean Hill,39190,0.444,0.556,34.2,0.169,0.022,0.782,0.017,0.076,33125,0.859,0.3,0.359,0.25,0.268,0.146,0.037,0.121,0.477
117,Ocean Parkway South,5839,0.49,0.51,31.9,0.086,0.855,0.003,0.041,0.049,50540,0.901,0.198,0.56,0.534,0.139,0.374,0.022,0.105,0.671
118,Old Astoria,12088,0.497,0.503,33.3,0.346,0.355,0.108,0.164,0.079,46840,0.807,0.208,0.405,0.363,0.219,0.381,0.021,0.087,0.483
119,Old Town-Dongan Hills-South Beach,10885,0.471,0.529,39.8,0.133,0.714,0.043,0.091,0.045,63885,0.925,0.117,0.544,0.453,0.127,0.303,0.042,0.114,0.656
120,Ozone Park,11737,0.49,0.51,37.8,0.397,0.255,0.061,0.237,0.071,65786,0.871,0.161,0.529,0.485,0.212,0.218,0.046,0.113,0.611
121,Park Slope-Gowanus,34713,0.481,0.519,34.9,0.185,0.651,0.052,0.067,0.048,101784,0.908,0.076,0.481,0.423,0.075,0.716,0.024,0.059,0.509
122,Parkchester,15259,0.472,0.528,37.5,0.354,0.025,0.471,0.127,0.091,46747,0.893,0.17,0.389,0.289,0.189,0.257,0.047,0.107,0.523
123,Pelham Parkway,15115,0.465,0.535,36.3,0.385,0.37,0.119,0.113,0.068,47806,0.868,0.173,0.46,0.356,0.215,0.313,0.028,0.109,0.423
124,Pomonok-Flushing Heights-Hillcrest,11804,0.463,0.537,37.3,0.218,0.348,0.106,0.305,0.072,48386,0.914,0.205,0.539,0.473,0.142,0.313,0.041,0.1,0.658
125,Prospect Heights,8492,0.49,0.51,35.7,0.105,0.511,0.265,0.078,0.051,84323,0.909,0.099,0.384,0.345,0.071,0.683,0.02,0.055,0.612
126,Prospect Lefferts Gardens-Wingate,47382,0.444,0.556,35.8,0.096,0.117,0.742,0.021,0.096,42462,0.849,0.234,0.346,0.262,0.182,0.244,0.026,0.09,0.566
127,Queens Village,20802,0.476,0.524,39.7,0.176,0.062,0.493,0.168,0.087,71313,0.86,0.108,0.477,0.417,0.171,0.217,0.032,0.096,0.661
128,Queensboro Hill,6066,0.489,0.511,38,0.179,0.153,0.018,0.622,0.055,53836,0.781,0.151,0.562,0.565,0.266,0.26,0.017,0.059,0.55
129,Queensbridge-Ravenswood-Long Island City,17192,0.473,0.527,33.8,0.391,0.166,0.237,0.176,0.101,28378,0.818,0.34,0.356,0.294,0.284,0.233,0.018,0.109,0.503
130,Rego Park,11430,0.465,0.535,44,0.18,0.457,0.019,0.311,0.048,50871,0.865,0.101,0.553,0.445,0.102,0.487,0.022,0.119,0.677
131,Richmond Hill,31097,0.49,0.51,35,0.35,0.111,0.085,0.308,0.066,58473,0.816,0.162,0.504,0.471,0.263,0.217,0.021,0.092,0.552
132,Ridgewood,36226,0.495,0.505,34.1,0.485,0.404,0.02,0.078,0.052,49776,0.79,0.201,0.455,0.411,0.229,0.205,0.018,0.06,0.419
133,Rikers Island,5654,0.908,0.092,29.4,0.349,0.069,0.551,0.02,,,,,0.125,0.077,0.627,0.025,0.01,,0.254
134,Rosedale,9880,0.439,0.561,34.8,0.07,0.054,0.829,0.035,0.046,83647,0.891,0.087,0.459,0.316,0.119,0.286,0.026,0.065,0.662
135,Rossville-Woodrow,7513,0.479,0.521,39.2,0.078,0.864,0.004,0.048,0.035,83743,0.962,0.127,0.607,0.559,0.085,0.315,0.036,0.071,0.759
136,Rugby-Remsen Village,32750,0.441,0.559,38.2,0.056,0.013,0.906,0.009,0.07,44027,0.846,0.186,0.385,0.274,0.176,0.192,0.025,0.095,0.628
137,Seagate-Coney Island,28251,0.469,0.531,40.3,0.249,0.32,0.298,0.116,0.099,23229,0.911,0.371,0.36,0.28,0.286,0.214,0.025,0.221,0.679
138,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,29913,0.464,0.536,43.6,0.071,0.697,0.068,0.153,0.062,51314,0.928,0.166,0.555,0.469,0.126,0.387,0.033,0.14,0.771
139,SoHo-TriBeCa-Civic Center-Little Italy,54029,0.499,0.501,35.6,0.063,0.659,0.022,0.21,0.037,118931,0.94,0.1,0.401,0.388,0.092,0.751,0.017,0.062,0.5
140,Soundview-Bruckner,32582,0.487,0.513,32.1,0.622,0.021,0.24,0.071,0.08,30681,0.789,0.355,0.338,0.295,0.412,0.119,0.024,0.1,0.353
141,Soundview-Castle Hill-Clason Point-Harding Park,4089,0.446,0.554,36.3,0.581,0.017,0.366,0.019,0.063,36129,0.894,0.276,0.311,0.235,0.259,0.167,0.043,0.16,0.62
142,South Jamaica,26696,0.478,0.522,30.9,0.249,0.005,0.617,0.061,0.123,47732,0.848,0.198,0.313,0.285,0.222,0.165,0.03,0.092,0.556
143,South Ozone Park,38839,0.485,0.515,36.8,0.208,0.059,0.229,0.238,0.075,57849,0.815,0.141,0.485,0.446,0.254,0.167,0.022,0.092,0.599
144,Springfield Gardens North,14338,0.407,0.593,37.7,0.122,0.012,0.843,0.013,0.086,51341,0.904,0.129,0.358,0.246,0.148,0.239,0.057,0.147,0.671
145,Springfield Gardens South-Brookville,11621,0.453,0.547,34.2,0.064,0.017,0.869,0.023,0.078,79042,0.896,0.12,0.42,0.323,0.146,0.25,0.027,0.087,0.636
146,Spuyten Duyvil-Kingsbridge,16161,0.479,0.521,39.6,0.374,0.466,0.086,0.048,0.051,67534,0.92,0.115,0.481,0.372,0.129,0.475,0.048,0.113,0.679
147,St. Albans,26089,0.453,0.547,38.1,0.07,0.01,0.881,0.016,0.095,69975,0.874,0.093,0.377,0.294,0.126,0.218,0.052,0.1,0.628
148,Stapleton-Rosebank,21760,0.502,0.498,35.6,0.304,0.379,0.193,0.1,0.045,56462,0.85,0.198,0.428,0.405,0.194,0.244,0.052,0.103,0.521
149,Steinway,16993,0.485,0.515,35.6,0.225,0.629,0.016,0.105,0.064,60618,0.845,0.126,0.459,0.413,0.149,0.434,0.026,0.092,0.577
150,Stuyvesant Heights,60514,0.454,0.546,33.5,0.195,0.058,0.709,0.023,0.104,37082,0.862,0.289,0.29,0.225,0.24,0.22,0.034,0.113,0.494
151,Stuyvesant Town-Cooper Village,1981,0.424,0.576,34.8,0.079,0.726,0.034,0.136,0.031,95022,0.932,0.111,0.401,0.268,0.024,0.789,0.025,0.086,0.567
152,Sunset Park East,24810,0.507,0.493,32.1,0.336,0.118,0.014,0.516,0.071,35636,0.789,0.347,0.522,0.498,0.535,0.138,0.01,0.085,0.306
153,Sunset Park West,29205,0.531,0.469,31.6,0.641,0.172,0.033,0.138,0.066,44165,0.757,0.28,0.405,0.386,0.382,0.227,0.022,0.085,0.349
154,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,17478,0.472,0.528,44.5,0.108,0.717,0.018,0.147,0.032,80761,0.918,0.071,0.593,0.527,0.119,0.345,0.054,0.106,0.768
155,Turtle Bay-East Midtown,25872,0.447,0.553,41.7,0.068,0.743,0.019,0.15,0.032,113998,0.961,0.062,0.466,0.347,0.02,0.812,0.044,0.076,0.471
156,University Heights-Morris Heights,38828,0.454,0.546,31.9,0.654,0.013,0.3,0.017,0.119,25073,0.822,0.415,0.319,0.216,0.319,0.113,0.026,0.159,0.406
